n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,27,Flavonifractor,0.00296913639482093,4.014650865296422e-15,,0.010975802958107655,,68.42105263157895
comps0,27,Clostridium_XlVb,4.5095150768120686e-05,7.255023153353647e-11,,0.020925627506393207,,20.87912087912088
comps0,27,J01CA04_.amoxicillin.,0.005627144172035801,2.882230229139871e-31,0.05743311963200361,0.025418862269335152,0.9689502266423902,54.347826086956516
comps1,10,Bilophila,4.498656251377711e-07,1.5466014007283109e-09,0.011229886652916665,9.689361359599824e-06,0.7859761803958486,12.345679012345679
comps1,10,Parabacteroides,0.0014431012883025238,0.00010332320455036639,1.0,0.00014086631652265795,0.19012606103045793,10.526315789473683
comps1,10,Anaerofustis,1.5729567312509482e-09,9.842666208093421e-18,,0.0011380955846749272,,62.5
comps1,10,Alpha.2.globulin,1.5729567312509482e-09,3.921072502173066e-12,,0.012977504409327954,,22.22222222222222
comps1,10,Anaerotruncus,1.5729567312509482e-09,2.270843703724428e-16,,0.015564411386633814,,50.0
comps1,10,Granulicatella,0.008361734168185768,4.557904957644949e-12,0.1598685556691365,0.03440851241944269,0.7145068666249473,23.076923076923077
