n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,22,Flavonifractor,2.0316987485751438e-07,1.7747460761179686e-16,,0.00655033950122707,,68.42105263157895
comps0,22,Clostridium_XlVb,0.00255662897167777,2.447130622047301e-13,0.7467798374027901,0.014075229782186758,0.07631902697609738,19.78021978021978
comps0,22,Bacteroides,0.00016117841789167634,4.067846858001458e-17,1.6203044397704691e-07,0.04002525018488856,6.455035992199333e-05,17.05426356589147
comps0,22,Pets_.past_3_months.,0.04491578890784443,0.03784588652215394,1.0,0.04689890752340003,0.14152998752623183,8.695652173913043
comps2,27,unclassified_Rhodospirillaceae,0.0005209631022220185,0.0007669074743081603,,0.002375244432275602,,15.517241379310345
comps2,27,unclassified_Bryobacter,0.04978759447323039,0.006908634446539226,0.05220363534131467,0.03151782679327358,0.42189635968044703,11.11111111111111
comps2,27,Faecalibacterium,0.03479452756772903,0.00032262917323889703,0.513933338114746,0.046516700588090376,0.04591943404558682,9.550561797752808
