n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,24,Roseburia,4.060102347920716e-10,1.0697023948464894e-16,0.03426400773486914,4.495088820213878e-06,0.022404158562510115,17.77777777777778
comps1,24,Gender:M,0.030757378718338717,8.976363984579319e-06,0.20563348696353057,0.004431000171734286,0.6521033377983636,11.811023622047244
comps1,24,Alcohol_.average_past_week.option,0.0010710878549789497,8.46819192652756e-05,,0.006943520894009105,,15.625
comps1,24,Faecalibacterium,2.1862089565726904e-09,7.219036548925858e-09,,0.012093663227478122,,11.797752808988763
comps1,24,Cigarettes_.average.day_past_3_months.,0.005593140590304544,0.00013052184061696596,,0.013049674860426835,,19.047619047619047
comps1,24,Mean_corpuscular_hemoglobin_concentration,0.0008325442244897767,0.00042532457867462177,,0.04077788636131983,,11.956521739130435
