n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps5,41,Prevotella,5.062043264302009e-15,2.402845197984319e-36,,8.726495203881426e-08,,42.70833333333333
comps5,41,Bloating_.days_past_week.option,0.02586007727749535,1.679461114819224e-06,,0.001724078858185798,,40.0
comps5,41,unclassified_Lactobacillaceae,0.04688196210642562,1.1429022434468927e-08,,0.005478553242547366,,69.23076923076923
comps5,41,Uric_acid,0.0001022486588234363,6.853404084707887e-14,0.12519374558181365,0.017977167118610127,0.10219563734792074,32.05128205128205
comps5,41,unclassified_Prevotellaceae,0.0010177973044307642,2.9076111542864073e-12,0.3859850515709651,0.03258086581187767,0.13091853136410087,35.0
comps5,41,Meat_.average_past_week.option,0.02586007727749535,0.0060492397897007845,,0.0372771404557188,,16.666666666666664
