n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,11,Bilophila,1.1343594426965331e-06,1.5705426142950145e-10,0.026453399088126373,0.00010786186056652141,0.552108644101064,13.580246913580247
comps0,11,Parabacteroides,0.0035015290932598475,0.00020604031738976096,0.04550026389635839,0.0002677482131183262,0.5603552622484234,10.526315789473683
comps0,11,Anaerofustis,8.310325587520403e-10,1.0267062849348794e-19,,0.005510642487632927,,68.75
comps0,11,Bacteroides,8.310325587520403e-10,6.253051951212293e-08,,0.008724629556662885,,8.527131782945736
comps0,11,Alpha.2.globulin,6.482053958265932e-08,1.3520190055153507e-13,0.029912990320775948,0.013237135962307307,0.02810804014715179,24.444444444444443
comps0,11,Pets_.past_3_months.,0.00016735001255125092,0.0007581119719919478,,0.01390629689534608,,8.695652173913043
comps0,11,Anaerotruncus,2.3268911645057093e-08,2.3707320367307275e-15,,0.015564411386633814,,50.0
comps0,11,Granulicatella,3.3739921885332864e-07,6.956654335489126e-10,,0.04036443081140879,,23.076923076923077
comps2,10,Gastroentritis_.other_treatment.,0.03615870621263609,0.001388549854496692,0.9025232501776794,0.018467071970567798,0.20623101007757272,8.333333333333332
