n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,11,Roseburia,0.04637681159420287,3.710039492185502e-08,0.00016943920219370635,0.0012278706012042533,0.020546051622977055,8.148148148148149
comps1,11,Glomerular_filtration_rate,2.6921523758244717e-05,5.841685416534812e-08,,0.004972880304956333,,14.285714285714285
comps2,12,Rothia,0.00521739130434785,1.2938840388274297e-05,,0.004736824948280191,,18.75
comps2,12,Smoking_with_inhalation:Ja,0.03913043478260869,0.009967581540165818,,0.02300562150174446,,8.88888888888889
